p1,p2,p3,p4
0.0021123,3.80E-06,1.6661,0.0047104
0.01596,0.0052903,3.2058,0.84821
0.011574,0.001918,0.17624,4.6917
0.011991,0.0049597,0.00058203,15.274
0.0074597,0.0011594,1.7767,0.0047327
0.011572,0.0039731,0.46919,1.3432
0.017215,0.0026236,0.81044,15.044
0.0097376,0.0018974,0.4126,23.093
0.01458,0.0044142,0.26892,0.12342
0.0075905,0.0055368,0.90366,0.005103
0.004479,0.0014801,0.59348,9.8046
0.0060337,0.0010943,0.69271,4.8278
0.0095423,0.0025163,0.72408,2.0301
0.0066058,0.00098205,0.79946,4.4737
0.009557,0.00090737,2.6199,1.3991
0.0087613,0.0022639,2.7913,0.0047102
0.010325,0.0040465,1.2319,2.6901
0.0088324,0.002,0.65287,1.022
0.011505,0.0012432,0.91703,6.9498
0.011263,0.0074407,0.84249,0.70561
0.013966,0.0041042,1.0112,1.2592
0.00078199,3.88E-06,1.9604,1.0082
0.008874,0.0010467,1.123,11.153
0.0080975,0.0014672,0.32978,1.3959
0.020215,0.0024661,0.68302,8.5941
0.00047152,4.37E-06,0.29181,4.9249
0.020051,0.00089543,3.0978,5.2502
0.0071369,0.00090683,0.46341,5.3063
0.013498,0.0021602,1.4113,7.728
0.014473,0.0021062,0.72372,4.912
0.014491,0.0054041,0.28037,1.7822
0.0075062,0.00060937,0.78955,2.9917
0.0083212,0.0044744,0.32935,1.7393
0.0074233,0.0015837,2.4222,0.17073
0.0036135,0.00066037,0.68611,16.461
0.0024185,3.80E-06,0.41324,0.0047102
0.0098917,0.0029619,0.38582,3.8899
0.011385,0.0036709,1.0793,0.93625
0.0087015,0.0018685,0.94722,5.8529
0.0087032,0.0018534,0.56379,6.3884
0.017052,0.0075822,0.25438,5.4646
0.0089318,0.00078694,0.99594,0.49771
0.0142,0.0021135,1.7218,5.0457
0.0089282,0.0031129,0.19659,0.48017
0.0044211,0.0011502,1.1093,0.0047595
0.012894,0.00074783,1.0594,3.5149
0.013474,0.0048661,0.3696,2.6952
0.0107,0.0045586,0.31251,1.4572
0.011963,0.0022939,0.66634,2.9682
0.0099922,0.0014934,1.1252,7.152
0.011973,0.005053,0.23478,1.8415
0.0098528,0.0024849,0.47587,1.199
0.0030864,3.93E-06,0.26326,0.68955
0.0052498,0.0008163,0.72306,8.1208
0.0069719,0.0028427,0.27728,0.76553
0.011015,0.0044192,0.46135,1.4576
0.0017136,0.0004552,2.8919,0.00471
0.0098978,0.0044781,0.86294,3.5011
0.00703,0.0017061,0.28359,0.1607
0.011468,0.0049127,1.4634,6.6711
0.0083713,0.0047981,0.34134,4.9772
0.0094453,0.00084361,0.44979,8.253
0.017532,0.0034259,0.40518,12.192
0.0099718,0.0020526,0.47359,2.2455
0.0086649,0.0007762,0.38655,1.5264
0.011868,0.0040239,0.21639,1.4028
0.0071763,0.0016943,0.36308,2.7349
0.010175,0.0039195,0.45135,0.0047104
