p1,p2,p3,p4
0.0098546,0.0090148,0.28238,0.0055613
0.01569,0.0031125,0.86742,7.9928
0.009648,0.0042665,0.96162,0.004711
0.0070741,3.80E-06,0.54104,1.2172
0.0081412,0.0055991,1.364,0.0047226
0.014976,0.0046448,0.43713,6.3485
0.01006,0.0011109,0.49688,2.2966
0.0069753,0.0027205,0.48797,1.7431
0.01671,0.0040951,0.36692,1.2026
0.0095891,0.0027737,0.37496,0.00471
0.011628,0.0052141,0.24925,1.5899
0.0080421,0.0041106,0.95622,0.81712
0.014243,0.0071594,0.65677,1.2811
0.022398,0.0041068,0.77448,7.4348
0.0086125,0.00044029,0.68801,2.7051
0.0099445,8.83E-05,0.99432,14.286
0.014298,0.0030556,0.72603,1.9898
0.013684,0.0044211,0.1233,15.759
0.020386,0.0065922,0.75616,6.631
0.015818,0.0013884,0.47635,12.158
0.013783,0.0013253,0.6738,5.8352
0.0086194,0.0018359,0.39609,2.2179
0.010137,0.00051054,0.34452,7.4413
0.010499,0.0020095,1.6652,0.00471
0.015557,0.0035686,0.31585,0.92424
0.009635,0.00053488,0.57411,0.00471
0.0067383,0.0010127,0.52601,0.96902
0.012107,0.00021451,1.3114,5.4023
0.013011,0.0050684,1.0804,1.1408
0.0059711,0.00066295,3.5171,0.00471
0.0089521,0.0038083,0.33766,0.71866
0.030126,0.0061885,0.23634,1.7032
0.0089799,0.0033652,0.35282,3.5928
0.014243,0.0018745,0.34407,1.8369
0.0035003,0.0023767,1.5838,0.00471
0.0081667,0.0011866,0.46273,3.0822
0.031838,0.0045014,0.68613,5.9973
0.0094859,0.0020422,1.0366,0.45685
0.013212,0.0027275,0.12695,3.8444
0.011131,0.0058512,0.39656,3.4454
0.020462,0.0037198,0.63513,4.4285
0.0082713,0.0020412,1.2539,10.053
0.0091314,0.002173,0.51698,0.004832
0.011343,0.0010102,0.49365,3.0335
0.012157,0.0015607,0.46703,3.4006
0.0054565,0.00089345,0.95849,0.00471
0.014078,0.0017553,1.3716,20.851
0.0087494,0.001613,1.0032,0.0047116
0.010744,0.0025975,0.39122,4.259
0.0047087,0.0014011,0.19595,12.802
0.0058068,0.00071999,0.41045,2.2481
0.0096977,0.0010601,0.39204,0.67573
0.0049153,4.16E-05,0.58245,1.8245
0.011676,0.0045132,0.52484,1.1351
0.0060496,0.00050738,0.58375,2.7996
0.015173,0.0063968,1.367,3.525
0.0092372,0.00085561,1.8937,2.4935
0.01284,0.003535,0.26675,3.067
0.0079612,0.0059912,0.84643,0.50358
0.016643,0.0024933,0.40941,0.71831
0.013963,0.0032136,0.30304,3.9455
0.006254,0.001876,0.56408,2.7386
0.016536,0.006165,0.69169,5.0952
0.0094428,0.00037318,1.2805,3.8764
0.011703,0.0070939,0.65111,0.69575
0.0043985,0.0014111,0.89947,0.0047101
0.0070357,0.0010619,0.47117,2.7923
0.0080622,0.0019495,0.7779,7.4346
0.016655,0.0019697,0.26519,6.7023
0.0076047,0.0024194,0.88164,0.00471
0.013324,0.00038491,1.5523,2.2087
0.01077,0.0012908,0.67184,0.99419
0.0065763,0.0023081,0.60597,0.0047128
0.0020903,3.87E-06,0.31956,9.2663
0.01221,0.00097976,0.46981,19.477
0.0070419,0.0024681,0.58309,2.6018
0.0075642,0.0024617,0.45111,4.488
0.010552,0.0039312,0.64979,7.24
0.012886,0.0023634,0.36089,1.5653
0.0084062,0.0055464,10.92,0.017251
0.025693,0.0037114,15.341,0.0047101
0.014016,0.0025633,0.59346,1.5558
0.013636,0.0037601,0.28423,0.464
0.011721,0.0071059,0.0094439,0.00471
0.02175,3.80E-06,1.8287,11.302
0.019556,0.0041158,1.0722,3.7535
0.016779,0.0043358,0.28606,1.0943
0.009613,0.00097527,1.0881,2.4163
0.01764,0.0013732,1.9746,24.886
0.011818,0.0014815,1.0669,0.96226
0.0052712,0.0013154,0.57672,2.8483
0,0,0,0
